시점,기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (mm),상대습도 (%),상대습도 (%),평균해면기압 (hpa),이슬점온도 (℃),평균운량 (10%),일조시간 (hr),최심신적설 (㎝),바람 (m/s),바람 (m/s),바람 (m/s)
시점,평균,평균최고,극점최고,평균최저,극점최저,소계,평균,최소,소계,소계,소계,소계,소계,평균풍속,최대풍속,최대순간풍속
2021. 01,-2.4,2.2,13.9,-6.8,-18.6,18.9,58,19,1024.9,-10.2,3.9,176.4,5,2.5,8.7,17.5
2021. 02,2.7,7.9,17.4,-2.2,-10.6,7.1,56,18,1021.5,-6,4,181,4.2,2.6,7.5,15.8
2021. 03,9,14.8,22.9,4.3,-1.2,110.9,63,19,1019.7,1.5,4.7,213,2.3,2.4,6.9,14.8
2021. 04,14.2,19.5,28.2,9.5,3.1,124.1,54,18,1018.1,4.1,4.8,208.6,-,2.6,7.1,12.5
2021. 05,17.1,21.9,30.8,12.8,7.3,183.1,68,25,1008.9,10.3,5.6,203.7,-,2.4,8.4,16
2021. 06,22.8,27.6,31.6,18.9,13.3,104.6,73,36,1007.5,17.2,5.6,185.5,-,2.2,7.8,15
2021. 07,28.1,32.2,36.5,24.6,19.6,168.3,71,37,1007.7,21.9,5.9,195.2,-,2,7.4,16.5
2021. 08,25.9,29.7,33.7,22.8,18.1,211.2,74,39,1008.2,20.5,7,127.3,-,2.1,8.3,16.4
2021. 09,22.6,26.9,30.3,18.8,16,131,71,38,1013.3,16.6,5.4,182,-,2.3,7.1,12.5
2021. 10,15.6,20.5,28.8,11.6,1.3,57,70,25,1021.2,9.6,4.7,168.4,-,2.1,10.6,20.9
2021. 11,8.2,13.1,21.3,4,-3.7,62.4,68,27,1019.6,2.2,4.2,163.6,-,2.1,9.3,16.6
2021. 12,0.6,5.1,13.3,-3.5,-15.5,7.9,62,26,1025.2,-6.4,3.2,185.4,4.4,2.3,8.1,15.2
2022. 01,-2.2,2.6,8.4,-6.2,-11.3,5.5,55,21,1025.2,-10.4,3.1,206.9,3.5,2.2,7.6,13.9
2022. 02,-1.1,3.8,11.5,-5.3,-10.7,4.7,55,21,1025.9,-9.6,3.2,203.8,3.3,2.6,7.4,14.5
2022. 03,7.7,12.7,19.5,3.2,-3,102.6,62,15,1017.3,0.1,5.2,173,0.7,2.5,8.8,18.5
2022. 04,14.8,20.6,28.7,10,3.5,20.4,55,17,1016.8,4.8,4.1,246.4,-,2.7,8.4,14.5
2022. 05,19.1,25,30.7,13.9,7.9,7.5,55,16,1011.8,9.1,3.9,302.3,-,2.6,7.6,14.1
2022. 06,23.3,27.5,32.7,19.8,14.9,393.8,73,18,1006.8,17.7,6.9,131.9,-,2.5,9.9,20.9
2022. 07,27.3,31,36.1,24.2,20.8,252.3,77,46,1005.2,22.7,6.9,140.1,-,2.1,5.6,11.6
2022. 08,25.7,28.9,32.9,23.1,16.1,564.8,80,39,1006.5,21.8,7.3,116.3,-,2.3,8.6,24.9
2022. 09,22.4,27.2,32.5,18.2,12.3,201.5,68,29,1012.9,15.6,5.1,203.9,-,2.4,8,18.3
2022. 10,14.6,19.7,27.6,10.3,4.4,124.1,69,25,1021.4,8.4,4.2,216,-,2.2,6.8,13.7
2022. 11,10,15.4,22.1,5.6,-8.1,84.5,65,23,1021.2,3.1,3.7,187.5,-,2.1,6.5,12
2022. 12,-2.8,1.7,10.2,-6.6,-13.7,13.6,59,21,1025,-10.1,3.4,197.1,4.4,2.3,7.4,15
